ID	Lat/Long	Neighbours
91	35.22250335,-80.84175998,339.85h,2.85p,1z	10,90,55
92	35.22160499,-80.84069350,308.49h,-0.04p,1z	9,56,93,91,11,44
93	35.22073279,-80.83968249,130.64h,1.49p,1z	57,55,8,10,92
94	35.21903366,-80.83694393,35.7h,17.65p,1z	5,95,97,7
95	35.22073058,-80.83767659,235.58h,-9.74p,1z	94,8
96	35.22162154,-80.83987990,44.01h,-2.51p,1z	8,57,97
97	35.21898569,-80.83764859,231.48h,-7.75p,1z	96,94,6,98
98	35.21822608,-80.83680295,206.81h,-3.54p,1z	97,99
99	35.21568238,-80.83350749,135.65h,-0.99p,1z	98,100
100	35.2146619,-80.831929610,242.3h,11.7p,1z	3,5
101	35.21111199,-80.82813672,317.85h,0.65p,1z	3,102
102	35.20881063,-80.82518407,48.56h,-2.17p,1z	101,2
103	35.20136671,-80.82516632,235.58h,-9.74p,1z	2,104,1
104	35.19607869,-80.82724151,228.5h,5.43p,1z	103
